CMAT;DTJRE;PERIODE;STATUS
6;20181108;J;A
6;20181109;J;A
6;20181112;J;A
6;20181113;J;A
6;20181114;J;A
6;20181115;J;A
6;20181116;J;A
6;20181119;J;A
6;20181120;J;A
6;20181121;J;A
6;20181122;J;A
6;20181123;J;A
6;20181126;J;A
6;20181127;J;A
17;20181001;J;A
17;20181002;J;A
17;20181003;J;A
17;20181004;J;A
17;20181005;J;A
17;20181008;J;A
17;20181009;J;A
17;20181017;J;A
17;20181102;J;A
17;20181224;J;A
17;20181226;J;
17;20181227;J;
17;20181228;J;
17;20181231;J;
19;20181102;J;A
21;20181009;J;A
21;20181102;J;A
21;20181123;J;
21;20181126;J;
21;20181224;J;
21;20181226;J;
21;20181227;J;
21;20181228;J;
21;20181231;J;
24;20181102;J;A
26;20181109;J;A
26;20181112;J;A
26;20181206;J;A
26;20181207;J;A
27;20181001;J;A
27;20181002;J;A
27;20181102;J;A
27;20181105;J;A
31;20181102;J;A
31;20181224;J;A
31;20181231;J;A
35;20181005;J;A
35;20181012;J;A
43;20181012;J;A
43;20181015;J;A
43;20181016;J;A
43;20181017;J;A
43;20181018;J;A
43;20181019;J;A
43;20181210;J;A
43;20181211;J;A
43;20181212;J;A
43;20181224;J;A
43;20181226;J;A
43;20181227;J;A
43;20181228;J;A
43;20181231;J;A
47;20181029;J;A
47;20181030;J;A
47;20181031;J;A
47;20181102;J;A
48;20181025;J;A
48;20181026;J;A
48;20181102;J;A
50;20181102;J;A
50;20181224;J;A
50;20181226;J;A
50;20181227;J;A
50;20181228;J;A
50;20181231;J;A
54;20181005;J;A
54;20181018;J;A
54;20181109;J;A
54;20181130;J;A
55;20181015;J;A
55;20181016;J;A
55;20181017;J;A
55;20181018;J;A
55;20181019;J;A
55;20181022;J;A
55;20181023;J;A
55;20181024;J;A
55;20181025;J;A
55;20181026;J;A
55;20181029;J;A
55;20181030;J;A
55;20181031;J;A
55;20181102;J;A
55;20181116;J;
55;20181224;J;A
55;20181226;J;A
55;20181227;J;A
55;20181228;J;A
55;20181231;J;
56;20181022;J;A
56;20181023;J;A
56;20181024;J;A
56;20181025;J;A
56;20181026;J;A
56;20181030;J;A
56;20181031;J;A
56;20181231;J;A
56;20190102;J;A
56;20190103;J;A
56;20190104;J;A
64;20181026;J;A
64;20181102;J;A
68;20181003;J;A
68;20181022;J;A
68;20181023;J;A
68;20181024;J;A
68;20181025;J;A
68;20181026;J;A
68;20181029;J;A
73;20181022;J;A
73;20181023;J;A
73;20181024;J;A
73;20181025;J;A
73;20181026;J;A
73;20181224;J;A
73;20181226;J;A
73;20181227;J;A
73;20181228;J;A
73;20181231;J;A
73;20190102;J;A
73;20190103;J;A
73;20190104;J;A
73;20190107;J;A
74;20181015;J;A
74;20181102;J;A
76;20181029;J;A
76;20181030;J;A
76;20181031;J;A
76;20181102;J;A
77;20181123;J;A
77;20181221;J;A
77;20181224;J;A
77;20181231;J;A
81;20181029;J;A
81;20181102;J;A
81;20181112;J;A
81;20181224;J;A
81;20181226;J;A
85;20181029;J;A
85;20181030;J;A
85;20181031;J;A
85;20181102;J;A
87;20181025;J;A
87;20181026;J;A
87;20181119;J;A
87;20181120;J;A
87;20181224;J;A
89;20181030;J;A
89;20181031;J;A
89;20181102;J;A
96;20181029;J;A
96;20181030;J;A
96;20181031;J;A
96;20181102;J;A
96;20181224;J;A
96;20181226;J;A
96;20181227;J;A
96;20181228;J;A
96;20181231;J;A
96;20190102;J;A
96;20190103;J;A
96;20190104;J;A
97;20181001;J;A
97;20181002;J;A
97;20181003;J;A
97;20181004;J;A
